epoch,train_loss,val_loss,test_loss
1,4.746244211278265,4.17744339195786,4.19809997613263
2,3.9685338198651294,3.8774690400263307,3.8936964341789295
3,3.6460314252984256,3.732222581365306,3.749139644537762
4,3.40564923357633,3.658654457444598,3.6733545573653688
5,3.206878720675759,3.6278427452038806,3.6400840601344018
6,3.028774844680526,3.6353575454396045,3.6443434566449207
7,2.8672920592179554,3.650142684863631,3.656472049700986
8,2.7223200482742413,3.695203150913214,3.7035449796421513
9,2.5890903738186615,3.7352210473103127,3.743049560838444
10,2.465231487770501,3.8063949020045578,3.804719624246002
