epoch,train_loss,val_loss,test_loss
1,4.676392611260521,4.093277332889047,4.113029212708685
2,3.8961816700251553,3.813176316060838,3.8238349340523885
3,3.583190796004891,3.670435137050167,3.6803848151188747
4,3.3495949876719506,3.6019320624649147,3.608268798536556
5,3.153550258447299,3.5585893567200677,3.5658343263492465
6,2.982308170950544,3.5585111189799705,3.5612428097208593
7,2.8290067339468967,3.576592881208772,3.5772498185467567
8,2.6912087877153543,3.597350586751464,3.5988456428430644
9,2.5664139130002783,3.6418267207540524,3.6407752401509863
10,2.451725491840052,3.6885927604262236,3.6871886845606907
